t (s),V (mV)
0,12.4603
0.973,12.4472
1.911,12.4389
2.849,12.4304
3.823,12.4225
4.814,12.408
5.814,12.3971
6.813,12.388
7.813,12.3781
8.813,12.3686
9.813,12.3584
10.813,12.3491
11.814,12.3394
12.814,12.3299
13.814,12.3196
14.813,12.3099
15.813,12.2997
16.814,12.2908
17.814,12.2814
18.814,12.2721
19.814,12.263
20.813,12.2548
21.813,12.2449
22.814,12.2358
23.814,12.2257
24.814,12.2158
25.813,12.207
26.814,12.1975
27.814,12.1888
28.814,12.1784
29.814,12.1688
30.814,12.1603
31.813,12.1513
32.814,12.1415
33.814,12.1325
34.814,12.1234
35.813,12.1137
36.814,12.1048
37.814,12.0952
38.814,12.0873
39.814,12.076
40.814,12.0684
41.813,12.0584
42.814,12.0498
43.813,12.0393
44.813,12.0303
45.813,12.0209
46.814,12.0122
47.814,12.0026
48.814,11.9936
49.813,11.984
50.813,11.9743
51.813,11.9657
52.813,11.9553
53.814,11.9455
54.814,11.937
55.814,11.9291
56.814,11.9199
57.814,11.9103
58.814,11.9014
59.814,11.8919
60.814,11.8832
61.814,11.8739
62.814,11.8661
63.814,11.8572
64.814,11.8482
65.813,11.8385
66.814,11.8304
67.814,11.8215
68.814,11.8124
69.814,11.8036
70.814,11.7953
71.813,11.786
72.814,11.7767
73.814,11.7688
74.813,11.7598
75.813,11.7511
76.814,11.7425
77.814,11.7345
78.814,11.7246
79.814,11.7173
80.813,11.7079
81.813,11.6998
82.814,11.6919
83.814,11.6832
84.814,11.6741
85.813,11.6663
86.813,11.6576
87.814,11.6495
88.814,11.6415
89.814,11.6332
90.814,11.6255
91.813,11.617
92.814,11.609
93.814,11.601
94.813,11.5924
95.814,11.5846
96.814,11.5761
97.814,11.5669
98.813,11.5591
99.814,11.5507
100.814,11.5433
101.813,11.5347
102.814,11.5274
103.814,11.5195
104.814,11.5103
105.813,11.5023
106.814,11.4951
107.814,11.4863
108.814,11.4781
109.814,11.4698
110.814,11.4626
111.813,11.4537
112.814,11.4464
113.814,11.4386
114.814,11.4304
115.813,11.4225
116.814,11.4146
117.814,11.4076
118.813,11.3984
119.814,11.3913
120.814,11.3849
121.814,11.3758
122.814,11.3675
123.814,11.3613
124.813,11.3528
125.814,11.3446
126.813,11.3371
127.814,11.3282
128.814,11.3201
129.814,11.3114
130.813,11.3034
131.814,11.2954
132.814,11.2866
133.813,11.2786
134.814,11.2722
135.814,11.2629
136.813,11.2544
137.814,11.2469
138.813,11.2393
139.813,11.2314
140.814,11.2229
141.814,11.215
142.813,11.2079
143.814,11.1983
144.814,11.1912
145.813,11.1842
146.814,11.1759
147.814,11.1681
148.813,11.1613
149.814,11.1542
150.813,11.1456
151.814,11.1389
152.814,11.1323
153.814,11.1239
154.814,11.1173
155.814,11.1101
156.814,11.1019
157.813,11.0944
158.814,11.0873
159.814,11.0796
160.813,11.0716
161.814,11.0647
162.813,11.0564
163.814,11.0497
164.814,11.0425
165.813,11.0352
166.814,11.0287
167.814,11.0205
168.813,11.0134
169.814,11.006
170.814,10.9995
171.814,10.9915
172.814,10.9843
173.813,10.9776
174.814,10.9707
175.814,10.9635
176.814,10.9563
177.813,10.9495
178.814,10.9421
179.814,10.9352
180.813,10.9276
181.814,10.9198
182.814,10.9132
183.813,10.9054
184.814,10.8979
185.814,10.89
186.814,10.883
187.814,10.8751
188.813,10.8684
189.814,10.8607
190.813,10.8542
191.814,10.8464
192.814,10.8387
193.814,10.8315
194.814,10.8246
195.813,10.8176
196.814,10.8103
197.813,10.8042
198.814,10.7961
199.813,10.7895
200.814,10.7819
201.813,10.7754
202.814,10.7682
203.813,10.7616
204.814,10.755
205.813,10.7479
206.814,10.7419
207.813,10.7347
208.813,10.7277
209.814,10.7206
210.813,10.7137
211.814,10.707
212.814,10.6998
213.813,10.6937
214.814,10.6859
215.814,10.6792
216.814,10.6734
217.814,10.6667
218.813,10.6593
219.814,10.6533
220.813,10.6462
221.814,10.639
222.813,10.6325
223.814,10.6256
224.813,10.6193
225.813,10.6131
226.813,10.6052
227.813,10.6001
228.813,10.5933
229.812,10.5873
230.813,10.5805
231.812,10.5743
232.813,10.5679
233.813,10.5604
234.813,10.5542
235.813,10.5481
236.812,10.542
237.813,10.5351
238.812,10.5286
239.813,10.5225
240.813,10.5156
241.812,10.5096
242.813,10.5018
243.812,10.4962
244.813,10.4897
245.812,10.4832
246.813,10.4767
247.812,10.4705
248.813,10.4632
249.812,10.4563
250.813,10.4495
251.812,10.4425
252.813,10.4364
253.812,10.4296
254.813,10.4226
255.812,10.415
256.812,10.4092
257.813,10.4023
258.812,10.3958
259.813,10.3894
260.812,10.3804
261.813,10.3749
262.813,10.3694
263.812,10.3616
264.813,10.3552
265.812,10.3487
266.813,10.3426
267.812,10.3367
268.813,10.3292
269.812,10.3237
270.812,10.3176
271.813,10.3104
272.812,10.3049
273.813,10.299
274.812,10.2925
275.812,10.2863
276.813,10.28
277.812,10.2742
278.813,10.267
279.812,10.262
280.813,10.2551
281.812,10.2492
282.813,10.2427
283.812,10.2362
284.813,10.2305
285.812,10.2248
286.813,10.217
287.812,10.2112
288.813,10.2056
289.812,10.1992
290.813,10.192
291.812,10.1861
292.813,10.1803
293.812,10.1746
294.813,10.1681
295.813,10.162
296.813,10.1547
297.813,10.1502
298.812,10.1442
299.813,10.1376
300.812,10.1321
301.813,10.1246
302.813,10.1194
303.812,10.114
304.812,10.1075
305.813,10.1016
306.812,10.0955
307.813,10.0898
308.813,10.0841
309.812,10.0778
310.813,10.0717
311.813,10.0653
312.812,10.0594
313.813,10.053
314.813,10.0476
315.813,10.0415
316.813,10.0355
317.812,10.0295
318.813,10.0242
319.813,10.0181
320.812,10.0119
321.813,10.0066
322.812,10.0004
323.814,9.9942
324.814,9.989
325.814,9.983
326.813,9.9764
327.814,9.9718
328.814,9.9656
329.814,9.9599
330.814,9.954
331.814,9.9484
332.814,9.9422
333.813,9.9358
334.814,9.9307
335.814,9.9253
336.813,9.9192
337.814,9.9138
338.814,9.9069
339.813,9.9012
340.814,9.8966
341.814,9.8902
342.814,9.8839
343.814,9.8783
344.814,9.8726
345.813,9.8668
346.814,9.8605
347.814,9.8555
348.814,9.8495
