t (s),V (mV)
0,13.8247
1.048,13.804
2.079,13.7928
3.079,13.7772
4.078,13.7612
5.079,13.7451
6.078,13.7295
7.079,13.7132
8.079,13.6966
9.078,13.6806
10.078,13.6639
11.079,13.6476
12.078,13.6304
13.078,13.6146
14.079,13.5991
15.078,13.5816
16.079,13.5673
17.079,13.5502
18.078,13.5333
19.079,13.5174
20.078,13.5003
21.078,13.4842
22.079,13.4687
23.078,13.4508
24.079,13.4347
25.078,13.4188
26.079,13.403
27.079,13.386
28.078,13.37
29.079,13.3539
30.079,13.3385
31.079,13.3223
32.079,13.3073
33.078,13.2912
34.079,13.2754
35.079,13.2599
36.079,13.2445
37.079,13.2291
38.079,13.2139
39.079,13.1983
40.079,13.1829
41.079,13.167
42.079,13.1519
43.079,13.1366
44.079,13.121
45.079,13.1053
46.079,13.0915
47.079,13.0757
48.078,13.0611
49.079,13.0455
50.079,13.0301
51.079,13.0142
52.079,12.998
53.079,12.9835
54.078,12.9669
55.079,12.9517
56.078,12.9356
57.079,12.9206
58.079,12.9046
59.079,12.8901
60.078,12.8735
61.079,12.8583
62.078,12.8426
63.079,12.8272
64.078,12.8112
65.079,12.7965
66.078,12.7823
67.079,12.7666
68.079,12.7523
69.078,12.7379
70.079,12.7228
71.079,12.7081
72.079,12.693
73.079,12.6786
74.078,12.6639
75.079,12.649
76.079,12.6341
77.079,12.6205
78.078,12.6059
79.079,12.5911
80.078,12.5773
81.079,12.5627
82.078,12.5485
83.079,12.5335
84.079,12.5192
85.079,12.5044
86.079,12.4891
87.079,12.4755
88.079,12.4592
89.078,12.4444
90.079,12.4305
91.079,12.4149
92.079,12.4005
93.079,12.3859
94.078,12.3711
95.079,12.3568
96.078,12.3427
97.079,12.3274
98.079,12.3127
99.078,12.2979
100.079,12.2835
101.078,12.2691
102.079,12.2548
103.078,12.2398
104.079,12.2266
105.078,12.2117
106.079,12.1972
107.079,12.1837
108.078,12.1703
109.079,12.1566
110.078,12.142
111.079,12.1288
112.079,12.1141
113.078,12.101
114.079,12.0871
115.079,12.0738
116.079,12.0595
117.079,12.0466
118.078,12.0328
119.079,12.0184
120.078,12.0056
121.079,11.9914
122.079,11.978
123.078,11.9648
124.079,11.9507
125.079,11.9373
126.079,11.9231
127.079,11.9097
128.079,11.8959
129.078,11.8826
130.079,11.8686
131.078,11.8548
132.079,11.8413
133.078,11.8291
134.079,11.8143
135.079,11.8006
136.079,11.7874
137.079,11.7734
138.078,11.7605
139.079,11.7467
140.079,11.7332
141.079,11.7198
142.079,11.7056
143.078,11.6934
144.078,11.6798
145.079,11.6667
146.079,11.6528
147.078,11.6392
148.079,11.626
149.079,11.6124
150.078,11.5994
151.079,11.5851
152.079,11.5729
153.078,11.56
154.079,11.5462
155.079,11.5334
156.078,11.5206
157.079,11.5071
158.079,11.495
159.078,11.4819
160.079,11.4683
161.079,11.4556
162.078,11.4427
163.079,11.4293
164.079,11.4166
165.079,11.4044
166.078,11.3908
167.079,11.3773
168.079,11.3647
169.079,11.3524
170.078,11.3387
171.079,11.3261
172.079,11.3128
173.079,11.3
174.079,11.2878
175.078,11.2744
176.079,11.2616
177.079,11.2489
178.079,11.2363
179.078,11.2224
180.079,11.2102
181.079,11.1975
182.078,11.1849
183.079,11.1711
184.079,11.1587
185.079,11.1465
186.078,11.1339
187.079,11.1211
188.079,11.1082
189.078,11.0958
190.079,11.0825
191.079,11.0695
192.079,11.0572
193.079,11.0451
194.078,11.0323
195.079,11.0202
196.079,11.0072
197.079,10.994
198.079,10.982
199.079,10.9701
200.079,10.9573
201.078,10.945
202.079,10.9334
203.079,10.9206
204.078,10.9088
205.078,10.8971
206.079,10.8851
207.079,10.8731
208.078,10.8608
209.079,10.8496
210.079,10.8381
211.079,10.8248
212.078,10.8129
213.079,10.8012
214.079,10.7895
215.079,10.7778
216.079,10.765
217.078,10.7539
218.078,10.7428
219.079,10.7309
220.079,10.7189
221.079,10.7064
222.078,10.695
223.079,10.681
224.079,10.6706
225.079,10.6582
226.079,10.6465
227.078,10.6347
228.079,10.6219
229.079,10.6091
230.077,10.5978
231.078,10.5848
232.078,10.5732
233.078,10.5617
234.078,10.5497
235.077,10.5384
236.078,10.5264
237.078,10.5144
238.077,10.5027
239.078,10.4901
240.078,10.48
241.078,10.4672
242.077,10.4554
243.078,10.4441
244.078,10.4326
245.077,10.4213
246.077,10.4097
247.078,10.3981
248.077,10.3864
249.077,10.3736
250.077,10.3631
251.078,10.3513
252.078,10.3398
253.078,10.3282
254.077,10.3172
255.077,10.306
256.078,10.2934
257.077,10.2829
258.077,10.2716
259.077,10.2601
260.078,10.248
261.078,10.2373
262.077,10.2253
263.077,10.2145
264.078,10.2028
265.078,10.1915
266.078,10.1802
267.078,10.1689
268.077,10.1582
269.077,10.1464
270.077,10.1345
271.078,10.1235
272.078,10.1124
273.078,10.1013
274.078,10.0903
275.078,10.0795
276.077,10.0677
277.077,10.0559
278.077,10.0456
279.078,10.0341
280.078,10.0239
281.078,10.0125
282.078,10.0017
283.079,9.9902
284.079,9.9799
285.079,9.9686
286.079,9.9579
287.079,9.9477
288.079,9.9367
289.079,9.9261
290.079,9.9157
291.078,9.9044
292.079,9.8939
293.079,9.8829
294.078,9.8717
295.078,9.8618
296.079,9.8506
297.079,9.8408
298.078,9.8293
299.079,9.8189
300.079,9.8085
301.079,9.7975
302.079,9.7872
303.079,9.7773
